	company_name	time_departure	time_arrival	city_departure	city_arrival	flight_type	price	date	date_dt	time_departure_dt	time_arrival_dt	day_name	is_weekend
4	Aeroflot	14:05	18:35	SVO	CEK	Прямой	7364.0	20220111	2022-01-11	14:05:00	18:35:00	Tuesday	0
5	Aeroflot	15:50	20:25	SVO	CEK	Прямой	7364.0	20220111	2022-01-11	15:50:00	20:25:00	Tuesday	0
6	Aeroflot	17:15	21:50	SVO	CEK	Прямой	7364.0	20220111	2022-01-11	17:15:00	21:50:00	Tuesday	0
7	Aeroflot	07:15	11:55	SVO	CEK	Прямой	7364.0	20220111	2022-01-11	07:15:00	11:55:00	Tuesday	0
8	Aeroflot	23:00	03:40	SVO	CEK	Прямой	8864.0	20220105	2022-01-05	23:00:00	03:40:00	Wednesday	0
9	Aeroflot	07:15	11:55	SVO	CEK	Прямой	10364.0	20220103	2022-01-03	07:15:00	11:55:00	Monday	0
1	Pobeda	23:55	04:20	VKO	CEK	Прямой	3999.0	20220112	2022-01-12	23:55:00	04:20:00	Wednesday	0
2	S7 Airlines	01:15	05:45	DME	CEK	Прямой	4048.0	20220112	2022-01-12	01:15:00	05:45:00	Wednesday	0
3	S7 Airlines	14:35	19:05	DME	CEK	Прямой	4048.0	20220112	2022-01-12	14:35:00	19:05:00	Wednesday	0
4	Aeroflot	14:05	18:35	SVO	CEK	Прямой	7364.0	20220112	2022-01-12	14:05:00	18:35:00	Wednesday	0
5	Aeroflot	17:15	21:50	SVO	CEK	Прямой	7364.0	20220112	2022-01-12	17:15:00	21:50:00	Wednesday	0
6	Aeroflot	15:50	20:25	SVO	CEK	Прямой	7364.0	20220112	2022-01-12	15:50:00	20:25:00	Wednesday	0
7	Aeroflot	07:15	11:55	SVO	CEK	Прямой	7364.0	20220112	2022-01-12	07:15:00	11:55:00	Wednesday	0
8	Aeroflot	23:00	03:40	SVO	CEK	Прямой	8864.0	20220105	2022-01-05	23:00:00	03:40:00	Wednesday	0
9	Aeroflot	07:15	11:55	SVO	CEK	Прямой	10364.0	20220103	2022-01-03	07:15:00	11:55:00	Monday	0
1	Pobeda	23:55	04:20	VKO	CEK	Прямой	3999.0	20220113	2022-01-13	23:55:00	04:20:00	Thursday	0
2	S7 Airlines	14:35	19:05	DME	CEK	Прямой	4048.0	20220113	2022-01-13	14:35:00	19:05:00	Thursday	0
3	Aeroflot	14:05	18:35	SVO	CEK	Прямой	7364.0	20220113	2022-01-13	14:05:00	18:35:00	Thursday	0
4	Aeroflot	15:50	20:25	SVO	CEK	Прямой	7364.0	20220113	2022-01-13	15:50:00	20:25:00	Thursday	0
5	Aeroflot	17:15	21:50	SVO	CEK	Прямой	7364.0	20220113	2022-01-13	17:15:00	21:50:00	Thursday	0
6	Aeroflot	07:15	11:55	SVO	CEK	Прямой	7364.0	20220113	2022-01-13	07:15:00	11:55:00	Thursday	0
7	Aeroflot	23:00	03:40	SVO	CEK	Прямой	7364.0	20220113	2022-01-13	23:00:00	03:40:00	Thursday	0
8	Aeroflot	23:00	03:40	SVO	CEK	Прямой	8864.0	20220105	2022-01-05	23:00:00	03:40:00	Wednesday	0
9	Aeroflot	07:15	11:55	SVO	CEK	Прямой	10364.0	20220103	2022-01-03	07:15:00	11:55:00	Monday	0
1	S7 Airlines	14:35	19:05	DME	CEK	Прямой	4048.0	20220114	2022-01-14	14:35:00	19:05:00	Friday	0
2	Pobeda	23:55	04:20	VKO	CEK	Прямой	3999.0	20220114	2022-01-14	23:55:00	04:20:00	Friday	0
3	S7 Airlines	01:15	05:45	DME	CEK	Прямой	4048.0	20220114	2022-01-14	01:15:00	05:45:00	Friday	0
4	Aeroflot	14:05	18:35	SVO	CEK	Прямой	7364.0	20220114	2022-01-14	14:05:00	18:35:00	Friday	0
5	Aeroflot	15:50	20:25	SVO	CEK	Прямой	7364.0	20220114	2022-01-14	15:50:00	20:25:00	Friday	0
6	Aeroflot	17:15	21:50	SVO	CEK	Прямой	7364.0	20220114	2022-01-14	17:15:00	21:50:00	Friday	0
7	Aeroflot	07:15	11:55	SVO	CEK	Прямой	7364.0	20220114	2022-01-14	07:15:00	11:55:00	Friday	0
8	Aeroflot	23:00	03:40	SVO	CEK	Прямой	8864.0	20220105	2022-01-05	23:00:00	03:40:00	Wednesday	0
9	Aeroflot	07:15	11:55	SVO	CEK	Прямой	10364.0	20220103	2022-01-03	07:15:00	11:55:00	Monday	0
1	Pobeda	23:55	04:20	VKO	CEK	Прямой	3999.0	20220115	2022-01-15	23:55:00	04:20:00	Saturday	1
2	S7 Airlines	01:15	05:45	DME	CEK	Прямой	4048.0	20220115	2022-01-15	01:15:00	05:45:00	Saturday	1
3	S7 Airlines	14:35	19:05	DME	CEK	Прямой	4048.0	20220115	2022-01-15	14:35:00	19:05:00	Saturday	1
4	Aeroflot	14:05	18:35	SVO	CEK	Прямой	7364.0	20220115	2022-01-15	14:05:00	18:35:00	Saturday	1
5	Aeroflot	17:15	21:50	SVO	CEK	Прямой	7364.0	20220115	2022-01-15	17:15:00	21:50:00	Saturday	1
6	Aeroflot	15:50	20:25	SVO	CEK	Прямой	7364.0	20220115	2022-01-15	15:50:00	20:25:00	Saturday	1
7	Aeroflot	07:15	11:55	SVO	CEK	Прямой	7364.0	20220115	2022-01-15	07:15:00	11:55:00	Saturday	1
8	Aeroflot	23:00	03:40	SVO	CEK	Прямой	8864.0	20220105	2022-01-05	23:00:00	03:40:00	Wednesday	0
9	Aeroflot	07:15	11:55	SVO	CEK	Прямой	10364.0	20220103	2022-01-03	07:15:00	11:55:00	Monday	0
1	Pobeda	22:00	04:20	VKO	OMS	Прямой	5699.0	20220101	2022-01-01	22:00:00	04:20:00	Saturday	1
2	S7 Airlines	23:20	05:45	DME	OMS	Прямой	6548.0	20220101	2022-01-01	23:20:00	05:45:00	Saturday	1
3	S7 Airlines	10:15	16:35	DME	OMS	Прямой	8468.0	20220101	2022-01-01	10:15:00	16:35:00	Saturday	1
4	Ural Airlines	23:10	05:30	DME	OMS	Прямой	7363.0	20220101	2022-01-01	23:10:00	05:30:00	Saturday	1
5	Nordwind Airlines	23:45	06:10	SVO	OMS	Прямой	7560.0	20220101	2022-01-01	23:45:00	06:10:00	Saturday	1
6	Aeroflot	15:50	20:25	SVO	CEK	Прямой	7364.0	20220115	2022-01-15	15:50:00	20:25:00	Saturday	1
7	Aeroflot	07:15	11:55	SVO	CEK	Прямой	7364.0	20220115	2022-01-15	07:15:00	11:55:00	Saturday	1
8	Aeroflot	23:00	03:40	SVO	CEK	Прямой	8864.0	20220105	2022-01-05	23:00:00	03:40:00	Wednesday	0
9	Aeroflot	07:15	11:55	SVO	CEK	Прямой	10364.0	20220103	2022-01-03	07:15:00	11:55:00	Monday	0
1	Pobeda	22:00	04:20	VKO	OMS	Прямой	5699.0	20220101	2022-01-01	22:00:00	04:20:00	Saturday	1
2	S7 Airlines	23:20	05:45	DME	OMS	Прямой	6548.0	20220101	2022-01-01	23:20:00	05:45:00	Saturday	1
3	S7 Airlines	10:15	16:35	DME	OMS	Прямой	8468.0	20220101	2022-01-01	10:15:00	16:35:00	Saturday	1
4	Ural Airlines	23:10	05:30	DME	OMS	Прямой	7363.0	20220101	2022-01-01	23:10:00	05:30:00	Saturday	1
5	Nordwind Airlines	23:45	06:10	SVO	OMS	Прямой	7560.0	20220101	2022-01-01	23:45:00	06:10:00	Saturday	1
6	Aeroflot	15:50	20:25	SVO	CEK	Прямой	7364.0	20220115	2022-01-15	15:50:00	20:25:00	Saturday	1
7	Aeroflot	07:15	11:55	SVO	CEK	Прямой	7364.0	20220115	2022-01-15	07:15:00	11:55:00	Saturday	1
8	Aeroflot	23:00	03:40	SVO	CEK	Прямой	8864.0	20220105	2022-01-05	23:00:00	03:40:00	Wednesday	0
9	Aeroflot	07:15	11:55	SVO	CEK	Прямой	10364.0	20220103	2022-01-03	07:15:00	11:55:00	Monday	0
1	Pobeda	22:00	04:20	VKO	OMS	Прямой	4999.0	20220103	2022-01-03	22:00:00	04:20:00	Monday	0
2	Pobeda	00:40	07:10	SVO	OMS	Прямой	4999.0	20220103	2022-01-03	00:40:00	07:10:00	Monday	0
3	Pobeda	15:20	21:50	SVO	OMS	Прямой	5699.0	20220103	2022-01-03	15:20:00	21:50:00	Monday	0
4	Nordwind Airlines	23:30	05:50	SVO	OMS	Прямой	6280.0	20220103	2022-01-03	23:30:00	05:50:00	Monday	0
5	Aeroflot	00:40	07:10	SVO	OMS	Прямой	6060.0	20220103	2022-01-03	00:40:00	07:10:00	Monday	0
6	Aeroflot	15:20	21:50	SVO	OMS	Прямой	6760.0	20220103	2022-01-03	15:20:00	21:50:00	Monday	0
7	Ural Airlines	23:10	05:30	DME	OMS	Прямой	8313.0	20220103	2022-01-03	23:10:00	05:30:00	Monday	0
8	Aeroflot	23:00	03:40	SVO	CEK	Прямой	8864.0	20220105	2022-01-05	23:00:00	03:40:00	Wednesday	0
9	Aeroflot	07:15	11:55	SVO	CEK	Прямой	10364.0	20220103	2022-01-03	07:15:00	11:55:00	Monday	0
1	Pobeda	22:00	04:20	VKO	OMS	Прямой	4499.0	20220104	2022-01-04	22:00:00	04:20:00	Tuesday	0
2	Pobeda	00:40	07:10	SVO	OMS	Прямой	4499.0	20220104	2022-01-04	00:40:00	07:10:00	Tuesday	0
3	Aeroflot	00:40	07:10	SVO	OMS	Прямой	5560.0	20220104	2022-01-04	00:40:00	07:10:00	Tuesday	0
4	Ural Airlines	23:10	05:30	DME	OMS	Прямой	6363.0	20220104	2022-01-04	23:10:00	05:30:00	Tuesday	0
5	S7 Airlines	10:15	16:35	DME	OMS	Прямой	6548.0	20220104	2022-01-04	10:15:00	16:35:00	Tuesday	0
6	S7 Airlines	00:55	07:20	DME	OMS	Прямой	6548.0	20220104	2022-01-04	00:55:00	07:20:00	Tuesday	0
7	Nordwind Airlines	23:35	05:50	SVO	OMS	Прямой	7430.0	20220104	2022-01-04	23:35:00	05:50:00	Tuesday	0
8	Aeroflot	23:00	03:40	SVO	CEK	Прямой	8864.0	20220105	2022-01-05	23:00:00	03:40:00	Wednesday	0
9	Aeroflot	07:15	11:55	SVO	CEK	Прямой	10364.0	20220103	2022-01-03	07:15:00	11:55:00	Monday	0
1	Pobeda	22:00	04:20	VKO	OMS	Прямой	5699.0	20220105	2022-01-05	22:00:00	04:20:00	Wednesday	0
2	Pobeda	00:40	07:10	SVO	OMS	Прямой	5695.0	20220105	2022-01-05	00:40:00	07:10:00	Wednesday	0
3	Pobeda	15:20	21:50	SVO	OMS	Прямой	5699.0	20220105	2022-01-05	15:20:00	21:50:00	Wednesday	0
4	Ural Airlines	23:10	05:30	DME	OMS	Прямой	6363.0	20220105	2022-01-05	23:10:00	05:30:00	Wednesday	0
5	Aeroflot	15:20	21:50	SVO	OMS	Прямой	6760.0	20220105	2022-01-05	15:20:00	21:50:00	Wednesday	0
6	Nordwind Airlines	23:30	05:50	SVO	OMS	Прямой	7430.0	20220105	2022-01-05	23:30:00	05:50:00	Wednesday	0
7	Aeroflot	22:00	04:35	SVO	OMS	Прямой	7304.0	20220105	2022-01-05	22:00:00	04:35:00	Wednesday	0
8	Aeroflot	00:40	07:10	SVO	OMS	Прямой	8049.0	20220105	2022-01-05	00:40:00	07:10:00	Wednesday	0
9	S7 Airlines	10:15	16:35	DME	OMS	Прямой	8468.0	20220105	2022-01-05	10:15:00	16:35:00	Wednesday	0
1	Pobeda	00:40	07:10	SVO	OMS	Прямой	5699.0	20220106	2022-01-06	00:40:00	07:10:00	Thursday	0
2	S7 Airlines	10:15	16:35	DME	OMS	Прямой	6548.0	20220106	2022-01-06	10:15:00	16:35:00	Thursday	0
3	Nordwind Airlines	23:30	05:50	SVO	OMS	Прямой	7580.0	20220106	2022-01-06	23:30:00	05:50:00	Thursday	0
4	Pobeda	22:00	04:20	VKO	OMS	Прямой	7900.0	20220106	2022-01-06	22:00:00	04:20:00	Thursday	0
5	Ural Airlines	23:10	05:30	DME	OMS	Прямой	8313.0	20220106	2022-01-06	23:10:00	05:30:00	Thursday	0
6	S7 Airlines	23:20	05:45	DME	OMS	Прямой	8468.0	20220106	2022-01-06	23:20:00	05:45:00	Thursday	0
7	S7 Airlines	12:50	19:15	DME	OMS	Прямой	9613.0	20220106	2022-01-06	12:50:00	19:15:00	Thursday	0
8	Aeroflot	00:40	07:10	SVO	OMS	Прямой	8049.0	20220105	2022-01-05	00:40:00	07:10:00	Wednesday	0
9	S7 Airlines	10:15	16:35	DME	OMS	Прямой	8468.0	20220105	2022-01-05	10:15:00	16:35:00	Wednesday	0
1	Pobeda	00:40	07:10	SVO	OMS	Прямой	5699.0	20220107	2022-01-07	00:40:00	07:10:00	Friday	0
2	Pobeda	22:00	04:20	VKO	OMS	Прямой	6699.0	20220107	2022-01-07	22:00:00	04:20:00	Friday	0
3	Pobeda	15:20	21:50	SVO	OMS	Прямой	6699.0	20220107	2022-01-07	15:20:00	21:50:00	Friday	0
4	Aeroflot	00:40	07:10	SVO	OMS	Прямой	6760.0	20220107	2022-01-07	00:40:00	07:10:00	Friday	0
5	Nordwind Airlines	23:30	05:50	SVO	OMS	Прямой	7630.0	20220107	2022-01-07	23:30:00	05:50:00	Friday	0
6	Aeroflot	22:00	04:35	SVO	OMS	Прямой	7304.0	20220107	2022-01-07	22:00:00	04:35:00	Friday	0
7	Aeroflot	15:20	21:50	SVO	OMS	Прямой	7760.0	20220107	2022-01-07	15:20:00	21:50:00	Friday	0
8	Aeroflot	00:40	07:10	SVO	OMS	Прямой	8049.0	20220105	2022-01-05	00:40:00	07:10:00	Wednesday	0
9	S7 Airlines	10:15	16:35	DME	OMS	Прямой	8468.0	20220105	2022-01-05	10:15:00	16:35:00	Wednesday	0
1	Pobeda	00:40	07:10	SVO	OMS	Прямой	5699.0	20220107	2022-01-07	00:40:00	07:10:00	Friday	0
2	Pobeda	22:00	04:20	VKO	OMS	Прямой	6699.0	20220107	2022-01-07	22:00:00	04:20:00	Friday	0
3	Pobeda	15:20	21:50	SVO	OMS	Прямой	6699.0	20220107	2022-01-07	15:20:00	21:50:00	Friday	0
4	Aeroflot	00:40	07:10	SVO	OMS	Прямой	6760.0	20220107	2022-01-07	00:40:00	07:10:00	Friday	0
5	Nordwind Airlines	23:30	05:50	SVO	OMS	Прямой	7630.0	20220107	2022-01-07	23:30:00	05:50:00	Friday	0
6	Aeroflot	22:00	04:35	SVO	OMS	Прямой	7304.0	20220107	2022-01-07	22:00:00	04:35:00	Friday	0
7	Aeroflot	15:20	21:50	SVO	OMS	Прямой	7760.0	20220107	2022-01-07	15:20:00	21:50:00	Friday	0
8	Aeroflot	00:40	07:10	SVO	OMS	Прямой	8049.0	20220105	2022-01-05	00:40:00	07:10:00	Wednesday	0
9	S7 Airlines	10:15	16:35	DME	OMS	Прямой	8468.0	20220105	2022-01-05	10:15:00	16:35:00	Wednesday	0
1	Pobeda	22:00	04:20	VKO	OMS	Прямой	4999.0	20220109	2022-01-09	22:00:00	04:20:00	Sunday	1
2	Pobeda	15:20	21:50	SVO	OMS	Прямой	5699.0	20220109	2022-01-09	15:20:00	21:50:00	Sunday	1
3	Nordwind Airlines	23:10	05:50	SVO	OMS	Прямой	6130.0	20220109	2022-01-09	23:10:00	05:50:00	Sunday	1
4	Pobeda	00:40	07:10	SVO	OMS	Прямой	6699.0	20220109	2022-01-09	00:40:00	07:10:00	Sunday	1
5	Aeroflot	15:20	21:50	SVO	OMS	Прямой	6760.0	20220109	2022-01-09	15:20:00	21:50:00	Sunday	1
6	Ural Airlines	23:10	05:30	DME	OMS	Прямой	7363.0	20220109	2022-01-09	23:10:00	05:30:00	Sunday	1
7	Aeroflot	22:00	04:35	SVO	OMS	Прямой	7304.0	20220109	2022-01-09	22:00:00	04:35:00	Sunday	1
8	Aeroflot	00:40	07:10	SVO	OMS	Прямой	8049.0	20220105	2022-01-05	00:40:00	07:10:00	Wednesday	0
9	S7 Airlines	10:15	16:35	DME	OMS	Прямой	8468.0	20220105	2022-01-05	10:15:00	16:35:00	Wednesday	0
1	Pobeda	22:00	04:20	VKO	OMS	Прямой	3499.0	20220110	2022-01-10	22:00:00	04:20:00	Monday	0
2	Pobeda	15:20	21:50	SVO	OMS	Прямой	3499.0	20220110	2022-01-10	15:20:00	21:50:00	Monday	0
3	Pobeda	00:40	07:10	SVO	OMS	Прямой	3499.0	20220110	2022-01-10	00:40:00	07:10:00	Monday	0
4	Nordwind Airlines	23:30	05:50	SVO	OMS	Прямой	4130.0	20220110	2022-01-10	23:30:00	05:50:00	Monday	0
5	Aeroflot	15:20	21:50	SVO	OMS	Прямой	4560.0	20220110	2022-01-10	15:20:00	21:50:00	Monday	0
6	Aeroflot	00:40	07:10	SVO	OMS	Прямой	4560.0	20220110	2022-01-10	00:40:00	07:10:00	Monday	0
7	S7 Airlines	10:15	16:35	DME	OMS	Прямой	6548.0	20220110	2022-01-10	10:15:00	16:35:00	Monday	0
8	Aeroflot	00:40	07:10	SVO	OMS	Прямой	8049.0	20220105	2022-01-05	00:40:00	07:10:00	Wednesday	0
9	S7 Airlines	10:15	16:35	DME	OMS	Прямой	8468.0	20220105	2022-01-05	10:15:00	16:35:00	Wednesday	0
1	Nordwind Airlines	23:35	05:50	SVO	OMS	Прямой	3530.0	20220111	2022-01-11	23:35:00	05:50:00	Tuesday	0
2	Pobeda	22:00	04:20	VKO	OMS	Прямой	3499.0	20220111	2022-01-11	22:00:00	04:20:00	Tuesday	0
3	Pobeda	00:40	07:10	SVO	OMS	Прямой	3499.0	20220111	2022-01-11	00:40:00	07:10:00	Tuesday	0
4	Ural Airlines	23:10	05:30	DME	OMS	Прямой	3998.0	20220111	2022-01-11	23:10:00	05:30:00	Tuesday	0
5	S7 Airlines	10:15	16:35	DME	OMS	Прямой	4453.0	20220111	2022-01-11	10:15:00	16:35:00	Tuesday	0
6	S7 Airlines	23:20	05:45	DME	OMS	Прямой	4453.0	20220111	2022-01-11	23:20:00	05:45:00	Tuesday	0
7	S7 Airlines	00:55	07:20	DME	OMS	Прямой	4559.0	20220111	2022-01-11	00:55:00	07:20:00	Tuesday	0
8	Aeroflot	00:40	07:10	SVO	OMS	Прямой	8049.0	20220105	2022-01-05	00:40:00	07:10:00	Wednesday	0
9	S7 Airlines	10:15	16:35	DME	OMS	Прямой	8468.0	20220105	2022-01-05	10:15:00	16:35:00	Wednesday	0
1	Pobeda	22:00	04:20	VKO	OMS	Прямой	3499.0	20220112	2022-01-12	22:00:00	04:20:00	Wednesday	0
2	Pobeda	00:40	07:10	SVO	OMS	Прямой	3499.0	20220112	2022-01-12	00:40:00	07:10:00	Wednesday	0
3	Pobeda	15:20	21:50	SVO	OMS	Прямой	3499.0	20220112	2022-01-12	15:20:00	21:50:00	Wednesday	0
4	S7 Airlines	10:15	16:35	DME	OMS	Прямой	4453.0	20220112	2022-01-12	10:15:00	16:35:00	Wednesday	0
5	S7 Airlines	23:20	05:45	DME	OMS	Прямой	4453.0	20220112	2022-01-12	23:20:00	05:45:00	Wednesday	0
6	Aeroflot	00:40	07:10	SVO	OMS	Прямой	4560.0	20220112	2022-01-12	00:40:00	07:10:00	Wednesday	0
7	Aeroflot	15:20	21:50	SVO	OMS	Прямой	4560.0	20220112	2022-01-12	15:20:00	21:50:00	Wednesday	0
8	Aeroflot	00:40	07:10	SVO	OMS	Прямой	8049.0	20220105	2022-01-05	00:40:00	07:10:00	Wednesday	0
9	S7 Airlines	10:15	16:35	DME	OMS	Прямой	8468.0	20220105	2022-01-05	10:15:00	16:35:00	Wednesday	0
1	Pobeda	22:00	04:20	VKO	OMS	Прямой	3499.0	20220112	2022-01-12	22:00:00	04:20:00	Wednesday	0
2	Pobeda	00:40	07:10	SVO	OMS	Прямой	3499.0	20220112	2022-01-12	00:40:00	07:10:00	Wednesday	0
3	Pobeda	15:20	21:50	SVO	OMS	Прямой	3499.0	20220112	2022-01-12	15:20:00	21:50:00	Wednesday	0
4	S7 Airlines	10:15	16:35	DME	OMS	Прямой	4453.0	20220112	2022-01-12	10:15:00	16:35:00	Wednesday	0
5	S7 Airlines	23:20	05:45	DME	OMS	Прямой	4453.0	20220112	2022-01-12	23:20:00	05:45:00	Wednesday	0
6	Aeroflot	00:40	07:10	SVO	OMS	Прямой	4560.0	20220112	2022-01-12	00:40:00	07:10:00	Wednesday	0
7	Aeroflot	15:20	21:50	SVO	OMS	Прямой	4560.0	20220112	2022-01-12	15:20:00	21:50:00	Wednesday	0
8	Aeroflot	00:40	07:10	SVO	OMS	Прямой	8049.0	20220105	2022-01-05	00:40:00	07:10:00	Wednesday	0
9	S7 Airlines	10:15	16:35	DME	OMS	Прямой	8468.0	20220105	2022-01-05	10:15:00	16:35:00	Wednesday	0
1	Pobeda	22:00	04:20	VKO	OMS	Прямой	3499.0	20220112	2022-01-12	22:00:00	04:20:00	Wednesday	0
2	Pobeda	00:40	07:10	SVO	OMS	Прямой	3499.0	20220112	2022-01-12	00:40:00	07:10:00	Wednesday	0
3	Pobeda	15:20	21:50	SVO	OMS	Прямой	3499.0	20220112	2022-01-12	15:20:00	21:50:00	Wednesday	0
4	S7 Airlines	10:15	16:35	DME	OMS	Прямой	4453.0	20220112	2022-01-12	10:15:00	16:35:00	Wednesday	0
